azul_direita: .word 12, 13
.byte 0,0,0,0,248,248,248,248,0,0,0,0,
0,0,248,248,248,248,248,248,248,248,0,0,
0,248,248,248,248,248,248,248,248,248,248,0,
248,248,248,255,255,248,248,248,248,255,255,248,
248,248,255,255,255,255,248,248,255,255,255,255,
248,248,255,255,192,192,248,248,255,255,192,192,
248,248,255,255,192,192,248,248,255,255,192,192,
248,248,248,255,255,248,248,248,248,255,255,248,
248,248,248,248,248,248,248,248,248,248,248,248,
248,248,248,248,248,248,248,248,248,248,248,248,
248,248,248,248,248,248,248,248,248,248,248,248,
248,248,248,248,248,248,248,248,248,248,248,248,
248,0,248,248,248,0,0,248,248,248,0,248,


