rosa_direita: .word 12, 13
.byte 0,0,0,0,239,239,239,239,0,0,0,0,
0,0,239,239,239,239,239,239,239,239,0,0,
0,239,239,239,239,239,239,239,239,239,239,0,
239,239,239,255,255,239,239,239,239,255,255,239,
239,239,255,255,255,255,239,239,255,255,255,255,
239,239,255,255,192,192,239,239,255,255,192,192,
239,239,255,255,192,192,239,239,255,255,192,192,
239,239,239,255,255,239,239,239,239,255,255,239,
239,239,239,239,239,239,239,239,239,239,239,239,
239,239,239,239,239,239,239,239,239,239,239,239,
239,239,239,239,239,239,239,239,239,239,239,239,
239,239,239,239,239,239,239,239,239,239,239,239,
239,0,239,239,239,0,0,239,239,239,0,239,


